survey,Q21,binary
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Ocean,invest_govregs,0
Ocean,invest_govregs,1
Terrestrial,invest_govregs,0
Terrestrial,invest_govregs,0
Terrestrial,invest_govregs,0
Terrestrial,invest_govregs,0
Terrestrial,invest_govregs,0
Terrestrial,invest_govregs,0
Terrestrial,invest_govregs,1
Terrestrial,invest_govregs,1
Terrestrial,invest_govregs,1
Terrestrial,invest_govregs,1
Terrestrial,invest_govregs,0
Terrestrial,invest_govregs,0
Terrestrial,invest_govregs,1
Terrestrial,invest_govregs,0
Terrestrial,invest_govregs,0
Terrestrial,invest_govregs,1
Terrestrial,invest_govregs,0
Terrestrial,invest_govregs,0
Terrestrial,invest_govregs,1
